Store,DayOfWeek,Date,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday,StoreType,Assortment,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2,Promo2SinceWeek,Promo2SinceYear,PromoInterval,Year,Month,Day,Week,Quarter,IsWeekend,CompetitionAge,PromoActive,IsHoliday,IsSchoolHoliday,SalesPerCustomer,StoreOpen,Season,MonthStart,MonthEnd
733,5,2015-07-31,16625,3644,1,1,0,1,b,b,860.0,10.0,1999.0,0,0.0,0.0,No Promo,2015,7,31,31,3,0,16.0,1,0,1,4.562294182217344,1,Summer,0,1
756,5,2015-07-31,25280,2901,1,1,0,1,a,c,50.0,0.0,0.0,1,40.0,2011.0,"Jan,Apr,Jul,Oct",2015,7,31,31,3,0,2015.0,1,0,1,8.714236470182696,1,Summer,0,1
769,5,2015-07-31,13738,3630,1,1,0,1,b,b,840.0,0.0,0.0,1,48.0,2012.0,"Jan,Apr,Jul,Oct",2015,7,31,31,3,0,2015.0,1,0,1,3.784573002754821,1,Summer,0,1
817,5,2015-07-31,23093,2884,1,1,0,1,a,a,140.0,3.0,2006.0,0,0.0,0.0,No Promo,2015,7,31,31,3,0,9.0,1,0,1,8.007281553398059,1,Summer,0,1
1114,5,2015-07-31,27508,3745,1,1,0,1,a,c,870.0,0.0,0.0,0,0.0,0.0,No Promo,2015,7,31,31,3,0,2015.0,1,0,1,7.345260347129506,1,Summer,0,1
122,4,2015-07-30,10576,1163,1,1,0,1,a,c,58260.0,4.0,2013.0,0,0.0,0.0,No Promo,2015,7,30,31,3,0,2.0,1,0,1,9.09372312983663,1,Summer,0,0
251,4,2015-07-30,20061,2377,1,1,0,1,a,c,340.0,0.0,0.0,0,0.0,0.0,No Promo,2015,7,30,31,3,0,2015.0,1,0,1,8.439629785443836,1,Summer,0,0
262,4,2015-07-30,22253,3132,1,1,0,1,b,a,1180.0,5.0,2013.0,0,0.0,0.0,No Promo,2015,7,30,31,3,0,2.0,1,0,1,7.105044699872286,1,Summer,0,0
335,4,2015-07-30,16308,2523,1,1,0,1,b,a,90.0,0.0,0.0,1,31.0,2013.0,"Jan,Apr,Jul,Oct",2015,7,30,31,3,0,2015.0,1,0,1,6.463733650416171,1,Summer,0,0
453,4,2015-07-30,12678,1403,1,1,0,1,a,c,75860.0,0.0,0.0,0,0.0,0.0,No Promo,2015,7,30,31,3,0,2015.0,1,0,1,9.036350677120456,1,Summer,0,0
562,4,2015-07-30,18577,2984,1,1,0,1,b,c,1210.0,0.0,0.0,0,0.0,0.0,No Promo,2015,7,30,31,3,0,2015.0,1,0,1,6.225536193029491,1,Summer,0,0
756,4,2015-07-30,18741,2292,1,1,0,1,a,c,50.0,0.0,0.0,1,40.0,2011.0,"Jan,Apr,Jul,Oct",2015,7,30,31,3,0,2015.0,1,0,1,8.176701570680628,1,Summer,0,0
817,4,2015-07-30,22177,2941,1,1,0,1,a,a,140.0,3.0,2006.0,0,0.0,0.0,No Promo,2015,7,30,31,3,0,9.0,1,0,1,7.540632437946277,1,Summer,0,0
1114,4,2015-07-30,24395,3251,1,1,0,1,a,c,870.0,0.0,0.0,0,0.0,0.0,No Promo,2015,7,30,31,3,0,2015.0,1,0,1,7.503844970778222,1,Summer,0,0
262,3,2015-07-29,21041,3123,1,1,0,1,b,a,1180.0,5.0,2013.0,0,0.0,0.0,No Promo,2015,7,29,31,3,0,2.0,1,0,1,6.737431956452129,1,Summer,0,0
453,3,2015-07-29,14506,1700,1,1,0,1,a,c,75860.0,0.0,0.0,0,0.0,0.0,No Promo,2015,7,29,31,3,0,2015.0,1,0,1,8.532941176470588,1,Summer,0,0
562,3,2015-07-29,17137,2878,1,1,0,1,b,c,1210.0,0.0,0.0,0,0.0,0.0,No Promo,2015,7,29,31,3,0,2015.0,1,0,1,5.954482279360668,1,Summer,0,0
586,3,2015-07-29,18568,2558,1,1,0,1,a,c,250.0,10.0,2008.0,0,0.0,0.0,No Promo,2015,7,29,31,3,0,7.0,1,0,1,7.25879593432369,1,Summer,0,0
817,3,2015-07-29,21556,2872,1,1,0,1,a,a,140.0,3.0,2006.0,0,0.0,0.0,No Promo,2015,7,29,31,3,0,9.0,1,0,1,7.505571030640668,1,Summer,0,0
1114,3,2015-07-29,25840,3545,1,1,0,1,a,c,870.0,0.0,0.0,0,0.0,0.0,No Promo,2015,7,29,31,3,0,2015.0,1,0,1,7.289139633286319,1,Summer,0,0
122,2,2015-07-28,12205,1376,1,1,0,1,a,c,58260.0,4.0,2013.0,0,0.0,0.0,No Promo,2015,7,28,31,3,0,2.0,1,0,1,8.869912790697674,1,Summer,0,0
251,2,2015-07-28,20994,2447,1,1,0,1,a,c,340.0,0.0,0.0,0,0.0,0.0,No Promo,2015,7,28,31,3,0,2015.0,1,0,1,8.579485083776053,1,Summer,0,0
262,2,2015-07-28,22442,3143,1,1,0,1,b,a,1180.0,5.0,2013.0,0,0.0,0.0,No Promo,2015,7,28,31,3,0,2.0,1,0,1,7.140311804008909,1,Summer,0,0
335,2,2015-07-28,16625,2554,1,1,0,1,b,a,90.0,0.0,0.0,1,31.0,2013.0,"Jan,Apr,Jul,Oct",2015,7,28,31,3,0,2015.0,1,0,1,6.509397024275646,1,Summer,0,0
453,2,2015-07-28,15695,1737,1,1,0,1,a,c,75860.0,0.0,0.0,0,0.0,0.0,No Promo,2015,7,28,31,3,0,2015.0,1,0,1,9.035693724812896,1,Summer,0,0
562,2,2015-07-28,18491,2956,1,1,0,1,b,c,1210.0,0.0,0.0,0,0.0,0.0,No Promo,2015,7,28,31,3,0,2015.0,1,0,1,6.255412719891746,1,Summer,0,0
756,2,2015-07-28,18939,2297,1,1,0,1,a,c,50.0,0.0,0.0,1,40.0,2011.0,"Jan,Apr,Jul,Oct",2015,7,28,31,3,0,2015.0,1,0,1,8.245102307357422,1,Summer,0,0
817,2,2015-07-28,23248,2998,1,1,0,1,a,a,140.0,3.0,2006.0,0,0.0,0.0,No Promo,2015,7,28,31,3,0,9.0,1,0,1,7.754503002001334,1,Summer,0,0
1114,2,2015-07-28,25518,3456,1,1,0,1,a,c,870.0,0.0,0.0,0,0.0,0.0,No Promo,2015,7,28,31,3,0,2015.0,1,0,1,7.383680555555555,1,Summer,0,0
122,1,2015-07-27,14461,1611,1,1,0,1,a,c,58260.0,4.0,2013.0,0,0.0,0.0,No Promo,2015,7,27,31,3,0,2.0,1,0,1,8.976412166356301,1,Summer,0,0
251,1,2015-07-27,20411,2367,1,1,0,1,a,c,340.0,0.0,0.0,0,0.0,0.0,No Promo,2015,7,27,31,3,0,2015.0,1,0,1,8.623151668779045,1,Summer,0,0
262,1,2015-07-27,22185,3150,1,1,0,1,b,a,1180.0,5.0,2013.0,0,0.0,0.0,No Promo,2015,7,27,31,3,0,2.0,1,0,1,7.042857142857143,1,Summer,0,0
299,1,2015-07-27,13769,1433,1,1,0,1,d,c,38630.0,9.0,2012.0,0,0.0,0.0,No Promo,2015,7,27,31,3,0,3.0,1,0,1,9.608513607815771,1,Summer,0,0
320,1,2015-07-27,21337,2397,1,1,0,1,a,c,210.0,9.0,2012.0,0,0.0,0.0,No Promo,2015,7,27,31,3,0,3.0,1,0,1,8.901543596161869,1,Summer,0,0
335,1,2015-07-27,20024,2778,1,1,0,1,b,a,90.0,0.0,0.0,1,31.0,2013.0,"Jan,Apr,Jul,Oct",2015,7,27,31,3,0,2015.0,1,0,1,7.208063354931605,1,Summer,0,0
453,1,2015-07-27,16493,1876,1,1,0,1,a,c,75860.0,0.0,0.0,0,0.0,0.0,No Promo,2015,7,27,31,3,0,2015.0,1,0,1,8.791577825159914,1,Summer,0,0
562,1,2015-07-27,19680,3142,1,1,0,1,b,c,1210.0,0.0,0.0,0,0.0,0.0,No Promo,2015,7,27,31,3,0,2015.0,1,0,1,6.2635264162953534,1,Summer,0,0
586,1,2015-07-27,18520,2367,1,1,0,1,a,c,250.0,10.0,2008.0,0,0.0,0.0,No Promo,2015,7,27,31,3,0,7.0,1,0,1,7.824250105618927,1,Summer,0,0
726,1,2015-07-27,17463,1291,1,1,0,1,a,c,40540.0,2.0,2002.0,0,0.0,0.0,No Promo,2015,7,27,31,3,0,13.0,1,0,1,13.526723470178156,1,Summer,0,0
733,1,2015-07-27,15907,3282,1,1,0,1,b,b,860.0,10.0,1999.0,0,0.0,0.0,No Promo,2015,7,27,31,3,0,16.0,1,0,1,4.846739792809263,1,Summer,0,0
756,1,2015-07-27,20328,2400,1,1,0,1,a,c,50.0,0.0,0.0,1,40.0,2011.0,"Jan,Apr,Jul,Oct",2015,7,27,31,3,0,2015.0,1,0,1,8.47,1,Summer,0,0
817,1,2015-07-27,23932,3113,1,1,0,1,a,a,140.0,3.0,2006.0,0,0.0,0.0,No Promo,2015,7,27,31,3,0,9.0,1,0,1,7.687761002248635,1,Summer,0,0
1027,1,2015-07-27,20849,2170,1,1,0,0,a,c,190.0,6.0,2008.0,1,40.0,2011.0,"Jan,Apr,Jul,Oct",2015,7,27,31,3,0,7.0,1,0,0,9.607834101382489,1,Summer,0,0
1114,1,2015-07-27,26720,3468,1,1,0,1,a,c,870.0,0.0,0.0,0,0.0,0.0,No Promo,2015,7,27,31,3,0,2015.0,1,0,1,7.704728950403691,1,Summer,0,0
110,7,2015-07-26,0,0,0,0,0,0,a,c,46590.0,4.0,2013.0,0,0.0,0.0,No Promo,2015,7,26,30,3,1,2.0,0,0,0,0.0,0,Summer,0,0
259,7,2015-07-26,15998,2857,1,0,0,0,b,b,210.0,0.0,0.0,0,0.0,0.0,No Promo,2015,7,26,30,3,1,2015.0,0,0,0,5.59957997899895,1,Summer,0,0
262,7,2015-07-26,32547,4783,1,0,0,0,b,a,1180.0,5.0,2013.0,0,0.0,0.0,No Promo,2015,7,26,30,3,1,2.0,0,0,0,6.804725067948986,1,Summer,0,0
315,7,2015-07-26,0,0,0,0,0,0,a,c,38710.0,4.0,2013.0,0,0.0,0.0,No Promo,2015,7,26,30,3,1,2.0,0,0,0,0.0,0,Summer,0,0
423,7,2015-07-26,16014,2426,1,0,0,0,b,a,1270.0,5.0,2014.0,0,0.0,0.0,No Promo,2015,7,26,30,3,1,1.0,0,0,0,6.600989282769992,1,Summer,0,0
453,7,2015-07-26,7455,930,1,0,0,0,a,c,75860.0,0.0,0.0,0,0.0,0.0,No Promo,2015,7,26,30,3,1,2015.0,0,0,0,8.016129032258064,1,Summer,0,0
462,7,2015-07-26,0,0,0,0,0,0,a,a,44320.0,8.0,2008.0,0,0.0,0.0,No Promo,2015,7,26,30,3,1,7.0,0,0,0,0.0,0,Summer,0,0
562,7,2015-07-26,20310,3397,1,0,0,1,b,c,1210.0,0.0,0.0,0,0.0,0.0,No Promo,2015,7,26,30,3,1,2015.0,0,0,1,5.978804827789226,1,Summer,0,0
726,7,2015-07-26,0,0,0,0,0,0,a,c,40540.0,2.0,2002.0,0,0.0,0.0,No Promo,2015,7,26,30,3,1,13.0,0,0,0,0.0,0,Summer,0,0
733,7,2015-07-26,16172,3352,1,0,0,0,b,b,860.0,10.0,1999.0,0,0.0,0.0,No Promo,2015,7,26,30,3,1,16.0,0,0,0,4.824582338902148,1,Summer,0,0
747,7,2015-07-26,0,0,0,0,0,0,c,c,45740.0,8.0,2008.0,0,0.0,0.0,No Promo,2015,7,26,30,3,1,7.0,0,0,0,0.0,0,Summer,0,0
801,7,2015-07-26,0,0,0,0,0,0,d,a,48330.0,4.0,2013.0,0,0.0,0.0,No Promo,2015,7,26,30,3,1,2.0,0,0,0,0.0,0,Summer,0,0
122,6,2015-07-25,8191,1090,1,0,0,0,a,c,58260.0,4.0,2013.0,0,0.0,0.0,No Promo,2015,7,25,30,3,1,2.0,0,0,0,7.514678899082568,1,Summer,0,0
262,6,2015-07-25,17118,2985,1,0,0,0,b,a,1180.0,5.0,2013.0,0,0.0,0.0,No Promo,2015,7,25,30,3,1,2.0,0,0,0,5.734673366834171,1,Summer,0,0
299,6,2015-07-25,10879,1086,1,0,0,0,d,c,38630.0,9.0,2012.0,0,0.0,0.0,No Promo,2015,7,25,30,3,1,3.0,0,0,0,10.017495395948435,1,Summer,0,0
453,6,2015-07-25,10176,1242,1,0,0,0,a,c,75860.0,0.0,0.0,0,0.0,0.0,No Promo,2015,7,25,30,3,1,2015.0,0,0,0,8.193236714975846,1,Summer,0,0
1114,6,2015-07-25,21312,3242,1,0,0,0,a,c,870.0,0.0,0.0,0,0.0,0.0,No Promo,2015,7,25,30,3,1,2015.0,0,0,0,6.573719925971623,1,Summer,0,0
122,5,2015-07-24,7956,1161,1,0,0,1,a,c,58260.0,4.0,2013.0,0,0.0,0.0,No Promo,2015,7,24,30,3,0,2.0,0,0,1,6.852713178294573,1,Summer,0,0
262,5,2015-07-24,18985,3273,1,0,0,1,b,a,1180.0,5.0,2013.0,0,0.0,0.0,No Promo,2015,7,24,30,3,0,2.0,0,0,1,5.800488848151543,1,Summer,0,0
453,5,2015-07-24,9758,1286,1,0,0,1,a,c,75860.0,0.0,0.0,0,0.0,0.0,No Promo,2015,7,24,30,3,0,2015.0,0,0,1,7.587869362363919,1,Summer,0,0
562,5,2015-07-24,16227,3022,1,0,0,1,b,c,1210.0,0.0,0.0,0,0.0,0.0,No Promo,2015,7,24,30,3,0,2015.0,0,0,1,5.369622766379881,1,Summer,0,0
733,5,2015-07-24,14042,3556,1,0,0,1,b,b,860.0,10.0,1999.0,0,0.0,0.0,No Promo,2015,7,24,30,3,0,16.0,0,0,1,3.9488188976377954,1,Summer,0,0
817,5,2015-07-24,17420,2735,1,0,0,1,a,a,140.0,3.0,2006.0,0,0.0,0.0,No Promo,2015,7,24,30,3,0,9.0,0,0,1,6.369287020109689,1,Summer,0,0
1114,5,2015-07-24,19627,3286,1,0,0,1,a,c,870.0,0.0,0.0,0,0.0,0.0,No Promo,2015,7,24,30,3,0,2015.0,0,0,1,5.972915398660986,1,Summer,0,0
122,4,2015-07-23,10588,1351,1,0,0,1,a,c,58260.0,4.0,2013.0,0,0.0,0.0,No Promo,2015,7,23,30,3,0,2.0,0,0,1,7.837157660991858,1,Summer,0,0
262,4,2015-07-23,17513,2895,1,0,0,1,b,a,1180.0,5.0,2013.0,0,0.0,0.0,No Promo,2015,7,23,30,3,0,2.0,0,0,1,6.049395509499137,1,Summer,0,0
453,4,2015-07-23,13564,1664,1,0,0,1,a,c,75860.0,0.0,0.0,0,0.0,0.0,No Promo,2015,7,23,30,3,0,2015.0,0,0,1,8.151442307692308,1,Summer,0,0
562,4,2015-07-23,16388,2956,1,0,0,1,b,c,1210.0,0.0,0.0,0,0.0,0.0,No Promo,2015,7,23,30,3,0,2015.0,0,0,1,5.543978349120433,1,Summer,0,0
817,4,2015-07-23,19532,2913,1,0,0,1,a,a,140.0,3.0,2006.0,0,0.0,0.0,No Promo,2015,7,23,30,3,0,9.0,0,0,1,6.705115001716443,1,Summer,0,0
1114,4,2015-07-23,20564,3231,1,0,0,1,a,c,870.0,0.0,0.0,0,0.0,0.0,No Promo,2015,7,23,30,3,0,2015.0,0,0,1,6.364593005261529,1,Summer,0,0
122,3,2015-07-22,7914,1104,1,0,0,1,a,c,58260.0,4.0,2013.0,0,0.0,0.0,No Promo,2015,7,22,30,3,0,2.0,0,0,1,7.168478260869565,1,Summer,0,0
262,3,2015-07-22,17663,2853,1,0,0,1,b,a,1180.0,5.0,2013.0,0,0.0,0.0,No Promo,2015,7,22,30,3,0,2.0,0,0,1,6.191026989134245,1,Summer,0,0
453,3,2015-07-22,11734,1456,1,0,0,1,a,c,75860.0,0.0,0.0,0,0.0,0.0,No Promo,2015,7,22,30,3,0,2015.0,0,0,1,8.059065934065934,1,Summer,0,0
562,3,2015-07-22,14832,2825,1,0,0,0,b,c,1210.0,0.0,0.0,0,0.0,0.0,No Promo,2015,7,22,30,3,0,2015.0,0,0,0,5.250265486725664,1,Summer,0,0
817,3,2015-07-22,18046,2969,1,0,0,1,a,a,140.0,3.0,2006.0,0,0.0,0.0,No Promo,2015,7,22,30,3,0,9.0,0,0,1,6.0781407881441565,1,Summer,0,0
1114,3,2015-07-22,20424,3284,1,0,0,1,a,c,870.0,0.0,0.0,0,0.0,0.0,No Promo,2015,7,22,30,3,0,2015.0,0,0,1,6.219244823386115,1,Summer,0,0
122,2,2015-07-21,8174,1104,1,0,0,1,a,c,58260.0,4.0,2013.0,0,0.0,0.0,No Promo,2015,7,21,30,3,0,2.0,0,0,1,7.403985507246377,1,Summer,0,0
262,2,2015-07-21,17836,3024,1,0,0,1,b,a,1180.0,5.0,2013.0,0,0.0,0.0,No Promo,2015,7,21,30,3,0,2.0,0,0,1,5.898148148148148,1,Summer,0,0
453,2,2015-07-21,10290,1293,1,0,0,1,a,c,75860.0,0.0,0.0,0,0.0,0.0,No Promo,2015,7,21,30,3,0,2015.0,0,0,1,7.958236658932715,1,Summer,0,0
562,2,2015-07-21,15293,3016,1,0,0,0,b,c,1210.0,0.0,0.0,0,0.0,0.0,No Promo,2015,7,21,30,3,0,2015.0,0,0,0,5.070623342175066,1,Summer,0,0
733,2,2015-07-21,12978,3343,1,0,0,1,b,b,860.0,10.0,1999.0,0,0.0,0.0,No Promo,2015,7,21,30,3,0,16.0,0,0,1,3.882141788812444,1,Summer,0,0
817,2,2015-07-21,19339,3030,1,0,0,1,a,a,140.0,3.0,2006.0,0,0.0,0.0,No Promo,2015,7,21,30,3,0,9.0,0,0,1,6.382508250825082,1,Summer,0,0
1114,2,2015-07-21,21269,3461,1,0,0,1,a,c,870.0,0.0,0.0,0,0.0,0.0,No Promo,2015,7,21,30,3,0,2015.0,0,0,1,6.145333718578446,1,Summer,0,0
122,1,2015-07-20,10774,1331,1,0,0,1,a,c,58260.0,4.0,2013.0,0,0.0,0.0,No Promo,2015,7,20,30,3,0,2.0,0,0,1,8.094665664913599,1,Summer,0,0
251,1,2015-07-20,18212,2351,1,0,0,1,a,c,340.0,0.0,0.0,0,0.0,0.0,No Promo,2015,7,20,30,3,0,2015.0,0,0,1,7.746490854955338,1,Summer,0,0
262,1,2015-07-20,19169,3062,1,0,0,1,b,a,1180.0,5.0,2013.0,0,0.0,0.0,No Promo,2015,7,20,30,3,0,2.0,0,0,1,6.260287393860222,1,Summer,0,0
299,1,2015-07-20,10934,1190,1,0,0,1,d,c,38630.0,9.0,2012.0,0,0.0,0.0,No Promo,2015,7,20,30,3,0,3.0,0,0,1,9.188235294117646,1,Summer,0,0
453,1,2015-07-20,13527,1572,1,0,0,1,a,c,75860.0,0.0,0.0,0,0.0,0.0,No Promo,2015,7,20,30,3,0,2015.0,0,0,1,8.604961832061068,1,Summer,0,0
562,1,2015-07-20,17268,3068,1,0,0,0,b,c,1210.0,0.0,0.0,0,0.0,0.0,No Promo,2015,7,20,30,3,0,2015.0,0,0,0,5.6284224250325945,1,Summer,0,0
698,1,2015-07-20,17949,2078,1,0,0,1,a,a,1790.0,5.0,2011.0,0,0.0,0.0,No Promo,2015,7,20,30,3,0,4.0,0,0,1,8.637632338787295,1,Summer,0,0
733,1,2015-07-20,13929,3235,1,0,0,1,b,b,860.0,10.0,1999.0,0,0.0,0.0,No Promo,2015,7,20,30,3,0,16.0,0,0,1,4.305718701700155,1,Summer,0,0
817,1,2015-07-20,22258,3201,1,0,0,1,a,a,140.0,3.0,2006.0,0,0.0,0.0,No Promo,2015,7,20,30,3,0,9.0,0,0,1,6.953452046235552,1,Summer,0,0
909,1,2015-07-20,23081,1767,1,0,0,0,a,c,1680.0,0.0,0.0,1,45.0,2009.0,"Feb,May,Aug,Nov",2015,7,20,30,3,0,2015.0,0,0,0,13.062252405206564,1,Summer,0,0
1114,1,2015-07-20,23731,3566,1,0,0,1,a,c,870.0,0.0,0.0,0,0.0,0.0,No Promo,2015,7,20,30,3,0,2015.0,0,0,1,6.654795288839035,1,Summer,0,0
110,7,2015-07-19,0,0,0,0,0,0,a,c,46590.0,4.0,2013.0,0,0.0,0.0,No Promo,2015,7,19,29,3,1,2.0,0,0,0,0.0,0,Summer,0,0
259,7,2015-07-19,17075,3154,1,0,0,0,b,b,210.0,0.0,0.0,0,0.0,0.0,No Promo,2015,7,19,29,3,1,2015.0,0,0,0,5.413760304375396,1,Summer,0,0
262,7,2015-07-19,31665,4691,1,0,0,0,b,a,1180.0,5.0,2013.0,0,0.0,0.0,No Promo,2015,7,19,29,3,1,2.0,0,0,0,6.750159880622468,1,Summer,0,0
315,7,2015-07-19,0,0,0,0,0,0,a,c,38710.0,4.0,2013.0,0,0.0,0.0,No Promo,2015,7,19,29,3,1,2.0,0,0,0,0.0,0,Summer,0,0
423,7,2015-07-19,18497,2847,1,0,0,0,b,a,1270.0,5.0,2014.0,0,0.0,0.0,No Promo,2015,7,19,29,3,1,1.0,0,0,0,6.49701440112399,1,Summer,0,0
453,7,2015-07-19,7317,977,1,0,0,0,a,c,75860.0,0.0,0.0,0,0.0,0.0,No Promo,2015,7,19,29,3,1,2015.0,0,0,0,7.489252814738997,1,Summer,0,0
462,7,2015-07-19,0,0,0,0,0,0,a,a,44320.0,8.0,2008.0,0,0.0,0.0,No Promo,2015,7,19,29,3,1,7.0,0,0,0,0.0,0,Summer,0,0
562,7,2015-07-19,21992,3325,1,0,0,0,b,c,1210.0,0.0,0.0,0,0.0,0.0,No Promo,2015,7,19,29,3,1,2015.0,0,0,0,6.614135338345864,1,Summer,0,0
726,7,2015-07-19,0,0,0,0,0,0,a,c,40540.0,2.0,2002.0,0,0.0,0.0,No Promo,2015,7,19,29,3,1,13.0,0,0,0,0.0,0,Summer,0,0
733,7,2015-07-19,15746,3263,1,0,0,0,b,b,860.0,10.0,1999.0,0,0.0,0.0,No Promo,2015,7,19,29,3,1,16.0,0,0,0,4.825620594544898,1,Summer,0,0
747,7,2015-07-19,0,0,0,0,0,0,c,c,45740.0,8.0,2008.0,0,0.0,0.0,No Promo,2015,7,19,29,3,1,7.0,0,0,0,0.0,0,Summer,0,0
801,7,2015-07-19,0,0,0,0,0,0,d,a,48330.0,4.0,2013.0,0,0.0,0.0,No Promo,2015,7,19,29,3,1,2.0,0,0,0,0.0,0,Summer,0,0
122,6,2015-07-18,8543,1043,1,0,0,0,a,c,58260.0,4.0,2013.0,0,0.0,0.0,No Promo,2015,7,18,29,3,1,2.0,0,0,0,8.190795781399808,1,Summer,0,0
262,6,2015-07-18,19042,3188,1,0,0,0,b,a,1180.0,5.0,2013.0,0,0.0,0.0,No Promo,2015,7,18,29,3,1,2.0,0,0,0,5.973023839397742,1,Summer,0,0
453,6,2015-07-18,9331,1195,1,0,0,0,a,c,75860.0,0.0,0.0,0,0.0,0.0,No Promo,2015,7,18,29,3,1,2015.0,0,0,0,7.80836820083682,1,Summer,0,0
462,6,2015-07-18,1873,261,1,0,0,0,a,a,44320.0,8.0,2008.0,0,0.0,0.0,No Promo,2015,7,18,29,3,1,7.0,0,0,0,7.176245210727969,1,Summer,0,0
586,6,2015-07-18,16165,2592,1,0,0,0,a,c,250.0,10.0,2008.0,0,0.0,0.0,No Promo,2015,7,18,29,3,1,7.0,0,0,0,6.236496913580247,1,Summer,0,0
733,6,2015-07-18,13454,3378,1,0,0,0,b,b,860.0,10.0,1999.0,0,0.0,0.0,No Promo,2015,7,18,29,3,1,16.0,0,0,0,3.9828300769686207,1,Summer,0,0
756,6,2015-07-18,17531,2597,1,0,0,0,a,c,50.0,0.0,0.0,1,40.0,2011.0,"Jan,Apr,Jul,Oct",2015,7,18,29,3,1,2015.0,0,0,0,6.750481324605314,1,Summer,0,0
1114,6,2015-07-18,22836,3437,1,0,0,0,a,c,870.0,0.0,0.0,0,0.0,0.0,No Promo,2015,7,18,29,3,1,2015.0,0,0,0,6.644166424207158,1,Summer,0,0
262,5,2015-07-17,22986,3671,1,1,0,1,b,a,1180.0,5.0,2013.0,0,0.0,0.0,No Promo,2015,7,17,29,3,0,2.0,1,0,1,6.261509125578861,1,Summer,0,0
453,5,2015-07-17,10444,1268,1,1,0,0,a,c,75860.0,0.0,0.0,0,0.0,0.0,No Promo,2015,7,17,29,3,0,2015.0,1,0,0,8.236593059936908,1,Summer,0,0
562,5,2015-07-17,17687,3370,1,1,0,0,b,c,1210.0,0.0,0.0,0,0.0,0.0,No Promo,2015,7,17,29,3,0,2015.0,1,0,0,5.248367952522255,1,Summer,0,0
733,5,2015-07-17,15016,4013,1,1,0,1,b,b,860.0,10.0,1999.0,0,0.0,0.0,No Promo,2015,7,17,29,3,0,16.0,1,0,1,3.7418390231746814,1,Summer,0,0
769,5,2015-07-17,14323,4050,1,1,0,1,b,b,840.0,0.0,0.0,1,48.0,2012.0,"Jan,Apr,Jul,Oct",2015,7,17,29,3,0,2015.0,1,0,1,3.5365432098765432,1,Summer,0,0
817,5,2015-07-17,21685,3182,1,1,0,1,a,a,140.0,3.0,2006.0,0,0.0,0.0,No Promo,2015,7,17,29,3,0,9.0,1,0,1,6.814896291640478,1,Summer,0,0
1114,5,2015-07-17,23473,3592,1,1,0,1,a,c,870.0,0.0,0.0,0,0.0,0.0,No Promo,2015,7,17,29,3,0,2015.0,1,0,1,6.534799554565701,1,Summer,0,0
251,4,2015-07-16,19588,2412,1,1,0,1,a,c,340.0,0.0,0.0,0,0.0,0.0,No Promo,2015,7,16,29,3,0,2015.0,1,0,1,8.12106135986733,1,Summer,0,0
